id,first_name,last_name,username,email,gender,ip_address,race,street_name,city,state,postal_code,drinks,age,commited_crime
1,Justin,Cunningham,jcunningham0,jcunningham0@mail.ru,Male,89.113.122.77,Comanche,Troy,Tallahassee,FL,32304,Never,94,true
2,Rachel,Cook,rcook1,rcook1@example.com,Female,212.124.14.177,Cheyenne,Sauthoff,Alexandria,VA,22313,Yearly,74,false
3,Anthony,Alvarez,aalvarez2,aalvarez2@nba.com,Male,131.31.203.107,Aleut,Oxford,Lexington,KY,40505,Seldom,50,true
4,Adam,Ray,aray3,aray3@fotki.com,Male,188.1.245.133,Spaniard,Everett,Worcester,MA,01605,Monthly,87,false
5,Stephen,Lane,slane4,slane4@woothemes.com,Male,105.26.78.36,Polynesian,Farragut,Stockton,CA,95210,Monthly,48,false
6,Lori,Hudson,lhudson5,lhudson5@prnewswire.com,Female,179.151.125.244,Polynesian,1st,San Jose,CA,95118,Seldom,71,false
7,Phyllis,Woods,pwoods6,pwoods6@csmonitor.com,Female,13.46.1.179,Yakama,Coolidge,South Bend,IN,46699,Daily,75,true
8,Linda,Jacobs,ljacobs7,ljacobs7@reuters.com,Female,114.60.103.17,Chilean,Tony,Tampa,FL,33633,Often,23,true
9,Matthew,Carroll,mcarroll8,mcarroll8@fema.gov,Male,56.27.223.41,White,Portage,Berkeley,CA,94705,Daily,37,false
10,Brandon,Moreno,bmoreno9,bmoreno9@php.net,Male,23.65.57.172,White,Shasta,Greensboro,NC,27409,Never,45,false
11,Carol,Bell,cbella,cbella@flavors.me,Female,124.78.68.63,Aleut,Lawn,Charlotte,NC,28215,Monthly,84,true
12,Chris,Kelly,ckellyb,ckellyb@ezinearticles.com,Male,53.123.246.62,Pima,Blackbird,El Paso,TX,88546,Daily,78,true
13,Anne,Edwards,aedwardsc,aedwardsc@webnode.com,Female,76.137.21.192,Paraguayan,Crownhardt,Akron,OH,44329,Monthly,81,true
14,Shawn,Turner,sturnerd,sturnerd@hatena.ne.jp,Male,89.244.152.13,Alaska Native,8th,Dallas,TX,75287,Often,18,true
15,James,Stewart,jstewarte,jstewarte@rambler.ru,Male,28.191.247.174,Asian Indian,Shopko,Dayton,OH,45432,Seldom,80,true
16,Craig,Ellis,cellisf,cellisf@imageshack.us,Male,218.202.226.247,Navajo,Petterle,Buffalo,NY,14220,Once,85,true
17,Emily,Lane,elaneg,elaneg@theatlantic.com,Female,255.227.48.3,Sri Lankan,Armistice,Gaithersburg,MD,20883,Monthly,72,true
18,Shawn,Dean,sdeanh,sdeanh@nhs.uk,Male,149.167.76.204,Colville,Washington,Modesto,CA,95354,Often,88,false
19,Wanda,Burke,wburkei,wburkei@g.co,Female,141.247.101.217,Eskimo,Doe Crossing,Youngstown,OH,44555,Yearly,26,false
20,Nicholas,Greene,ngreenej,ngreenej@tinypic.com,Male,48.165.69.165,Crow,Roxbury,Newark,DE,19714,Often,27,false
21,Steve,Cunningham,scunninghamk,scunninghamk@sitemeter.com,Male,139.205.4.60,Guatemalan,Sunbrook,Dallas,TX,75277,Weekly,46,false
22,Susan,Graham,sgrahaml,sgrahaml@soup.io,Female,124.46.237.139,Menominee,Rusk,Metairie,LA,70005,Once,79,false
23,Wanda,Johnston,wjohnstonm,wjohnstonm@cafepress.com,Female,132.23.210.171,Melanesian,Ramsey,Springfield,IL,62705,Once,87,false
24,Charles,Hanson,chansonn,chansonn@foxnews.com,Male,109.232.216.38,Iroquois,Badeau,Des Moines,IA,50369,Daily,28,true
25,Theresa,Cunningham,tcunninghamo,tcunninghamo@ted.com,Female,184.15.97.137,Asian,Homewood,Evanston,IL,60208,Weekly,93,true
26,John,Hamilton,jhamiltonp,jhamiltonp@wikimedia.org,Male,100.159.10.122,Pueblo,Monterey,Tucson,AZ,85710,Seldom,37,false
27,Harry,Morrison,hmorrisonq,hmorrisonq@omniture.com,Male,75.127.9.53,Sri Lankan,Bowman,San Diego,CA,92132,Daily,54,true
28,Marie,Russell,mrussellr,mrussellr@blog.com,Female,102.253.4.75,Nicaraguan,Nova,Pittsburgh,PA,15225,Weekly,96,true
29,Debra,Green,dgreens,dgreens@cafepress.com,Female,118.28.235.102,Chilean,Grim,Inglewood,CA,90398,Never,38,false
30,Ruby,Hayes,rhayest,rhayest@pagesperso-orange.fr,Female,226.78.69.215,Mexican,Green,Arlington,VA,22212,Often,71,false
31,Andrea,Ross,arossu,arossu@dyndns.org,Female,67.19.148.78,Yakama,Paget,Bozeman,MT,59771,Often,51,false
